"2001:470:4:13f::","2001:470:4:141:ffff:ffff:ffff:ffff","US"
"2001:470:4:142::","2001:470:4:142:ffff:ffff:ffff:ffff","NZ"
"2001:470:4:143::","2001:470:4:143:ffff:ffff:ffff:ffff","NL"
"2001:470:4:144::","2001:470:4:144:ffff:ffff:ffff:ffff","TT"
"2001:470:4:145::","2001:470:4:145:ffff:ffff:ffff:ffff","GY"
"2001:470:4:146::","2001:470:4:146:ffff:ffff:ffff:ffff","NO"
"2001:470:4:147::","2001:470:4:147:ffff:ffff:ffff:ffff","US"
"2001:470:4:148::","2001:470:4:148:ffff:ffff:ffff:ffff","AR"
"2001:470:4:149::","2001:470:4:14b:ffff:ffff:ffff:ffff","US"
"2001:470:4:14c::","2001:470:4:14c:ffff:ffff:ffff:ffff","AT"
"2001:470:4:14d::","2001:470:4:14d:ffff:ffff:ffff:ffff","BR"
"2001:470:4:14e::","2001:470:4:14e:ffff:ffff:ffff:ffff","EC"
"2001:470:4:14f::","2001:470:4:14f:ffff:ffff:ffff:ffff","US"
"2001:470:4:150::","2001:470:4:150:ffff:ffff:ffff:ffff","AR"
"2001:470:4:151::","2001:470:4:151:ffff:ffff:ffff:ffff","US"
"2001:470:4:152::","2001:470:4:153:ffff:ffff:ffff:ffff","BR"
"2001:470:4:154::","2001:470:4:154:ffff:ffff:ffff:ffff","US"
"2001:470:4:155::","2001:470:4:155:ffff:ffff:ffff:ffff","BR"
"2001:470:4:156::","2001:470:4:158:ffff:ffff:ffff:ffff","US"
"2001:470:4:159::","2001:470:4:15a:ffff:ffff:ffff:ffff","BR"
"2001:470:4:15b::","2001:470:4:161:ffff:ffff:ffff:ffff","US"
"2001:470:4:162::","2001:470:4:162:ffff:ffff:ffff:ffff","TT"
"2001:470:4:163::","2001:470:4:166:ffff:ffff:ffff:ffff","US"
"2001:470:4:167::","2001:470:4:167:ffff:ffff:ffff:ffff","BR"
"2001:470:4:168::","2001:470:4:16d:ffff:ffff:ffff:ffff","US"
"2001:470:4:16e::","2001:470:4:16e:ffff:ffff:ffff:ffff","NI"
"2001:470:4:16f::","2001:470:4:16f:ffff:ffff:ffff:ffff","AR"
"2001:470:4:170::","2001:470:4:170:ffff:ffff:ffff:ffff","CN"
"2001:470:4:171::","2001:470:4:175:ffff:ffff:ffff:ffff","US"
"2001:470:4:176::","2001:470:4:176:ffff:ffff:ffff:ffff","AR"
"2001:470:4:177::","2001:470:4:178:ffff:ffff:ffff:ffff","US"
"2001:470:4:179::","2001:470:4:179:ffff:ffff:ffff:ffff","BB"
"2001:470:4:17a::","2001:470:4:17a:ffff:ffff:ffff:ffff","DO"
"2001:470:4:17b::","2001:470:4:17e:ffff:ffff:ffff:ffff","US"
"2001:470:4:17f::","2001:470:4:17f:ffff:ffff:ffff:ffff","UY"
"2001:470:4:180::","2001:470:4:180:ffff:ffff:ffff:ffff","TH"
"2001:470:4:181::","2001:470:4:181:ffff:ffff:ffff:ffff","US"
"2001:470:4:182::","2001:470:4:182:ffff:ffff:ffff:ffff","HR"
"2001:470:4:183::","2001:470:4:183:ffff:ffff:ffff:ffff","SV"
"2001:470:4:184::","2001:470:4:184:ffff:ffff:ffff:ffff","BR"
"2001:470:4:185::","2001:470:4:188:ffff:ffff:ffff:ffff","US"
"2001:470:4:189::","2001:470:4:189:ffff:ffff:ffff:ffff","BG"
"2001:470:4:18a::","2001:470:4:18b:ffff:ffff:ffff:ffff","US"
